method,bias,sd,rmse,n_valid,mean_loss
ht,-0.17723949772696712,0.4336461454820902,0.46846858917752604,50,
hajek,-0.04323306799639137,0.17012539524989503,0.17553275556805234,50,
haipw-truth,0.0506576758242121,0.25601778779476153,0.2609814318821063,50,
haipw-one,-0.020653448650408857,0.17768069302144876,0.17887703489754458,50,
haipw-cov-truth,0.15669586907679006,0.27836770962596696,0.3194404125156008,50,
haipw-cov-one,-0.0193455201775925,0.13212779177853567,0.13353652126371165,50,
linear,-0.006212011030742981,0.1370618207827929,0.13720252110417108,50,89591.03558617612
lasso,0.0032988953268395793,0.13785297566642057,0.13789244218036095,50,95331.92150275873
gat-linear,0.028399550241114735,0.12635799470932255,0.12951014354427529,50,68445.10172580079
gat-lasso,0.06966406870722375,0.12347784043062585,0.14177397344454973,50,59423.869226190254
